[2026-05-11T14:36:01.052+0100][0.005s][info][gc,init] CardTable entry size: 512
[2026-05-11T14:36:01.052+0100][0.005s][info][gc     ] Using G1
[2026-05-11T14:36:01.056+0100][0.008s][info][gc,init] Version: 21+35-jvmci-23.1-b15 (release)
[2026-05-11T14:36:01.056+0100][0.008s][info][gc,init] CPUs: 16 total, 16 available
[2026-05-11T14:36:01.056+0100][0.008s][info][gc,init] Memory: 31507M
[2026-05-11T14:36:01.056+0100][0.008s][info][gc,init] Large Page Support: Disabled
[2026-05-11T14:36:01.056+0100][0.008s][info][gc,init] NUMA Support: Disabled
[2026-05-11T14:36:01.056+0100][0.008s][info][gc,init] Compressed Oops: Enabled (Zero based)
[2026-05-11T14:36:01.056+0100][0.008s][info][gc,init] Heap Region Size: 4M
[2026-05-11T14:36:01.056+0100][0.008s][info][gc,init] Heap Min Capacity: 8M
[2026-05-11T14:36:01.056+0100][0.008s][info][gc,init] Heap Initial Capacity: 496M
[2026-05-11T14:36:01.056+0100][0.008s][info][gc,init] Heap Max Capacity: 7880M
[2026-05-11T14:36:01.056+0100][0.008s][info][gc,init] Pre-touch: Disabled
[2026-05-11T14:36:01.056+0100][0.008s][info][gc,init] Parallel Workers: 13
[2026-05-11T14:36:01.056+0100][0.008s][info][gc,init] Concurrent Workers: 3
[2026-05-11T14:36:01.056+0100][0.008s][info][gc,init] Concurrent Refinement Workers: 13
[2026-05-11T14:36:01.056+0100][0.008s][info][gc,init] Periodic GC: Disabled
[2026-05-11T14:36:01.074+0100][0.026s][info][gc,metaspace] CDS archive(s) mapped at: [0x00007f564b000000-0x00007f564bc99000-0x00007f564bc99000), size 13209600, SharedBaseAddress: 0x00007f564b000000, ArchiveRelocationMode: 1.
[2026-05-11T14:36:01.074+0100][0.026s][info][gc,metaspace] Compressed class space mapped at: 0x00007f564c000000-0x00007f568c000000, reserved size: 1073741824
[2026-05-11T14:36:01.074+0100][0.026s][info][gc,metaspace] Narrow klass base: 0x00007f564b000000, Narrow klass shift: 0, Narrow klass range: 0x100000000
[2026-05-11T14:36:01.767+0100][0.719s][info][gc,start    ] GC(0) Pause Young (Normal) (G1 Evacuation Pause)
[2026-05-11T14:36:01.768+0100][0.721s][info][gc,task     ] GC(0) Using 12 workers of 13 for evacuation
[2026-05-11T14:36:01.772+0100][0.725s][info][gc,phases   ] GC(0)   Pre Evacuate Collection Set: 0.2ms
[2026-05-11T14:36:01.772+0100][0.725s][info][gc,phases   ] GC(0)   Merge Heap Roots: 0.3ms
[2026-05-11T14:36:01.772+0100][0.725s][info][gc,phases   ] GC(0)   Evacuate Collection Set: 3.0ms
[2026-05-11T14:36:01.772+0100][0.725s][info][gc,phases   ] GC(0)   Post Evacuate Collection Set: 0.4ms
